displayName,description,subgraphID,signal,codeRepository,image,website
Uniswap V2,Uniswap V2,QmWTrJJ9W8h3JE19FhCzzPYsJ2tgXZCdUqnbyuo64ToTBN,"1000000",https://github.com/uniswap/uniswap-v2-subgraph,https://api.thegraph.com/ipfs/api/v0/cat?arg=QmWQn64mrw9eVBfau2TxknR8bQNs4BkCy7mUi9UaZG9ofs,
Synthetix Rates,Synthetix Rates,QmdbHP5ALcHda6UdCtZLYEwQJo7xTKKgUXMwMLLiCspYFE,"1000000",https://github.com/Synthetixio/synthetix-subgraph,https://storage.googleapis.com/subgraph-images/1599682669782SNX%20(2).png,
Balancer,Balancer,QmXorTXBbcJ9YHH8YKjdz5KxVENz43fdXxciFHZHvi8m6c,"900000",https://github.com/balancer-labs/balancer-subgraph,https://storage.googleapis.com/subgraph-images/1582850720988pebbles-padcircle-white.256w.png,
Curve,Curve,QmNs5fU6VkyGUsaNsa5sUHEKpzCA5AZWKJG8LaBrcCRpmW,"900000",,https://storage.googleapis.com/subgraph-images/default/sg-4.png,
UMA,UMA,QmdJjt7nX7bZraGLRb93eJMQ9ND4SwoFQtA934N3FdxMBs,"800000",https://github.com/protofire/uma-subgraph ,https://storage.googleapis.com/subgraph-images/1594053638802910-uma-project.png,
Aave,Aave,QmU3qzWocSGuywhLonGiYmv22XS5sHatfEBp3vrJrRGdD6,"800000",https://github.com/aave/aave-protocol/tree/master/thegraph,https://storage.googleapis.com/subgraph-images/1578403270665sticker_aave_telegram.png,
Mintbase,Mintbase,QmW5UcMhXwXrMqRpTdT3MKB7HYDxbsp5oe9Atkuh4sgAA5,"800000",https://github.com/Mintbase/graph-mint-factory,https://storage.googleapis.com/subgraph-images/1573754371189logo-solo-white.png,
Known Origin,Known Origin,QmUxpVrcmXRmJgi8CMXu8JPHABspnoaewQjDujc17bkGqR,"800000",https://github.com/knownorigin/known-origin-subgraph ,https://storage.googleapis.com/subgraph-images/1575098880182440px_LogoIcn.png,
Opyn,Opyn,QmNVmy3hA6JVqZfMGoQc68GsB9GzGiEVLjhR1pHLY2xwuS,"700000",,https://storage.googleapis.com/subgraph-images/1581473209487Opyn2.png,
Protocol Multy Raw,Protocol Multy Raw,QmaTCNvS72s7gULbrnKE9D4WaDA3HBD7yXUA9d2wGJUXHQ,"600000",https://github.com/graphprotocol/aave-protocol,https://storage.googleapis.com/subgraph-images/1590485690460sticker_aave_telegram.png,
Keeper DAO,Keeper DAO,QmW6BrjSMPUSjMApTNYZShHi9XShgziC5YppGvqyjjAAX1,"500000",,https://storage.googleapis.com/subgraph-images/default/sg-2.png,
Token Sets,Token Sets,QmZ6noN8Ek4dPpyvmSv4AdAtefVWtUsopBc8hFKFiWo1Uw,"500000",https://github.com/GraphiteTools/tokensets-subgraph ,https://storage.googleapis.com/subgraph-images/1586498344313tokensets.png,
Synthetix Exchanges,Synthetix Exchanges,QmNmLRx82a8FEvVr3aBahEReAj3fN4JSmHG2ufTEVwVR7z,"450000",https://github.com/Synthetixio/synthetix-subgraph,https://storage.googleapis.com/subgraph-images/1569869352912Slack___jordan___Synthetix.jpg,
Compound,Compound,QmdYA3zCs27962HNchhcjJbyfT3hZtLhANJuo1BsMv5YTs,"400000",https://github.com/GraphiteTools/compound-subgraph ,https://storage.googleapis.com/subgraph-images/1586460211036compound.png,
MStable,MStable,QmWNP1jqMZm61G8FbsLzi9Mnii5qRXbkadBxXVHZPqzKri,"300000",https://gitlab.com/mstable/mstable-graph,https://storage.googleapis.com/subgraph-images/1586091586012mstable_logo_circle_m_black.jpg,
Tellor,Tellor,QmbBHyLRN97BssF7w6MnULW92f7iaM7vX7fnNU6wDDj3fc,"300000",,https://storage.googleapis.com/subgraph-images/default/sg-9.png,
