Account,Subgraph Number,Amount
0x90F8bf6A479f320ead074411a4B0e7944Ea8c9C1,0,300000
0x90F8bf6A479f320ead074411a4B0e7944Ea8c9C1,1,100000
0x90F8bf6A479f320ead074411a4B0e7944Ea8c9C1,2,100000
0x90F8bf6A479f320ead074411a4B0e7944Ea8c9C1,3,100000
0x90F8bf6A479f320ead074411a4B0e7944Ea8c9C1,4,100000
0x90F8bf6A479f320ead074411a4B0e7944Ea8c9C1,5,50000
0x90F8bf6A479f320ead074411a4B0e7944Ea8c9C1,6,25000
0x90F8bf6A479f320ead074411a4B0e7944Ea8c9C1,7,80000
0x90F8bf6A479f320ead074411a4B0e7944Ea8c9C1,8,150000
0x90F8bf6A479f320ead074411a4B0e7944Ea8c9C1,9,150000
0x90F8bf6A479f320ead074411a4B0e7944Ea8c9C1,10,150000
0x90F8bf6A479f320ead074411a4B0e7944Ea8c9C1,11,150000
0x90F8bf6A479f320ead074411a4B0e7944Ea8c9C1,12,200000
0x90F8bf6A479f320ead074411a4B0e7944Ea8c9C1,13,200000
0x90F8bf6A479f320ead074411a4B0e7944Ea8c9C1,14,200000
0x90F8bf6A479f320ead074411a4B0e7944Ea8c9C1,15,100000
0x90F8bf6A479f320ead074411a4B0e7944Ea8c9C1,16,200000
0x90F8bf6A479f320ead074411a4B0e7944Ea8c9C1,17,200000
