Account,Subgraph Number,Amount (percentage)
0x23D1B1823e6Cb5229137424f88C70fdA1539F1F9,0,50
0x23D1B1823e6Cb5229137424f88C70fdA1539F1F9,1,50
0x23D1B1823e6Cb5229137424f88C70fdA1539F1F9,2,50
0x23D1B1823e6Cb5229137424f88C70fdA1539F1F9,3,50
0x23D1B1823e6Cb5229137424f88C70fdA1539F1F9,4,50
0x23D1B1823e6Cb5229137424f88C70fdA1539F1F9,5,50
0x23D1B1823e6Cb5229137424f88C70fdA1539F1F9,6,50
0x23D1B1823e6Cb5229137424f88C70fdA1539F1F9,7,50
0x23D1B1823e6Cb5229137424f88C70fdA1539F1F9,8,50
0x23D1B1823e6Cb5229137424f88C70fdA1539F1F9,9,50
0x23D1B1823e6Cb5229137424f88C70fdA1539F1F9,10,50
0x23D1B1823e6Cb5229137424f88C70fdA1539F1F9,11,50
0x23D1B1823e6Cb5229137424f88C70fdA1539F1F9,12,50
0x23D1B1823e6Cb5229137424f88C70fdA1539F1F9,13,50
0x23D1B1823e6Cb5229137424f88C70fdA1539F1F9,14,50
0x23D1B1823e6Cb5229137424f88C70fdA1539F1F9,15,50
0x23D1B1823e6Cb5229137424f88C70fdA1539F1F9,16,50
0x23D1B1823e6Cb5229137424f88C70fdA1539F1F9,17,50
0x23D1B1823e6Cb5229137424f88C70fdA1539F1F9,18,50
0x23D1B1823e6Cb5229137424f88C70fdA1539F1F9,19,50
0x23D1B1823e6Cb5229137424f88C70fdA1539F1F9,20,50
0x23D1B1823e6Cb5229137424f88C70fdA1539F1F9,21,50
0x23D1B1823e6Cb5229137424f88C70fdA1539F1F9,22,50
0x23D1B1823e6Cb5229137424f88C70fdA1539F1F9,23,50
0x23D1B1823e6Cb5229137424f88C70fdA1539F1F9,24,50
0x23D1B1823e6Cb5229137424f88C70fdA1539F1F9,25,50
0x23D1B1823e6Cb5229137424f88C70fdA1539F1F9,26,50
0x23D1B1823e6Cb5229137424f88C70fdA1539F1F9,27,50
0x23D1B1823e6Cb5229137424f88C70fdA1539F1F9,28,50
0x23D1B1823e6Cb5229137424f88C70fdA1539F1F9,29,50
0x23D1B1823e6Cb5229137424f88C70fdA1539F1F9,30,50
0x23D1B1823e6Cb5229137424f88C70fdA1539F1F9,31,50
0x23D1B1823e6Cb5229137424f88C70fdA1539F1F9,32,50
0x23D1B1823e6Cb5229137424f88C70fdA1539F1F9,33,50
0x23D1B1823e6Cb5229137424f88C70fdA1539F1F9,34,50
0x23D1B1823e6Cb5229137424f88C70fdA1539F1F9,35,50
0x23D1B1823e6Cb5229137424f88C70fdA1539F1F9,36,50
0x23D1B1823e6Cb5229137424f88C70fdA1539F1F9,37,50
0x23D1B1823e6Cb5229137424f88C70fdA1539F1F9,38,50
0x23D1B1823e6Cb5229137424f88C70fdA1539F1F9,39,50
0x23D1B1823e6Cb5229137424f88C70fdA1539F1F9,40,50
0x23D1B1823e6Cb5229137424f88C70fdA1539F1F9,41,50
0x23D1B1823e6Cb5229137424f88C70fdA1539F1F9,42,50
0x23D1B1823e6Cb5229137424f88C70fdA1539F1F9,43,50
0x23D1B1823e6Cb5229137424f88C70fdA1539F1F9,44,50
0x23D1B1823e6Cb5229137424f88C70fdA1539F1F9,45,50
0x23D1B1823e6Cb5229137424f88C70fdA1539F1F9,46,50
0x23D1B1823e6Cb5229137424f88C70fdA1539F1F9,47,50
0x23D1B1823e6Cb5229137424f88C70fdA1539F1F9,48,50
0x23D1B1823e6Cb5229137424f88C70fdA1539F1F9,49,50
0x23D1B1823e6Cb5229137424f88C70fdA1539F1F9,50,50
0x23D1B1823e6Cb5229137424f88C70fdA1539F1F9,51,50
0x23D1B1823e6Cb5229137424f88C70fdA1539F1F9,52,50
0x23D1B1823e6Cb5229137424f88C70fdA1539F1F9,53,50
0x23D1B1823e6Cb5229137424f88C70fdA1539F1F9,54,50
0x23D1B1823e6Cb5229137424f88C70fdA1539F1F9,55,50
0x23D1B1823e6Cb5229137424f88C70fdA1539F1F9,56,50
0x23D1B1823e6Cb5229137424f88C70fdA1539F1F9,57,50
0x23D1B1823e6Cb5229137424f88C70fdA1539F1F9,58,50
0x23D1B1823e6Cb5229137424f88C70fdA1539F1F9,59,50
0x23D1B1823e6Cb5229137424f88C70fdA1539F1F9,60,50
0x23D1B1823e6Cb5229137424f88C70fdA1539F1F9,61,50
0x23D1B1823e6Cb5229137424f88C70fdA1539F1F9,62,50
0x23D1B1823e6Cb5229137424f88C70fdA1539F1F9,63,50
0x23D1B1823e6Cb5229137424f88C70fdA1539F1F9,64,50
