Account,Subgraph Number,Amount (percentage)
0x23D1B1823e6Cb5229137424f88C70fdA1539F1F9,0,10
0x23D1B1823e6Cb5229137424f88C70fdA1539F1F9,1,20
0x23D1B1823e6Cb5229137424f88C70fdA1539F1F9,2,100
0x23D1B1823e6Cb5229137424f88C70fdA1539F1F9,3,40
0x23D1B1823e6Cb5229137424f88C70fdA1539F1F9,4,50
0x23D1B1823e6Cb5229137424f88C70fdA1539F1F9,5,70
0x23D1B1823e6Cb5229137424f88C70fdA1539F1F9,6,12
0x23D1B1823e6Cb5229137424f88C70fdA1539F1F9,7,88
0x23D1B1823e6Cb5229137424f88C70fdA1539F1F9,8,17
0x23D1B1823e6Cb5229137424f88C70fdA1539F1F9,9,23
0x23D1B1823e6Cb5229137424f88C70fdA1539F1F9,10,45
0x23D1B1823e6Cb5229137424f88C70fdA1539F1F9,11,55
0x23D1B1823e6Cb5229137424f88C70fdA1539F1F9,12,65
0x23D1B1823e6Cb5229137424f88C70fdA1539F1F9,13,99
0x23D1B1823e6Cb5229137424f88C70fdA1539F1F9,14,1
0x23D1B1823e6Cb5229137424f88C70fdA1539F1F9,15,2
0x23D1B1823e6Cb5229137424f88C70fdA1539F1F9,16,30
0x23D1B1823e6Cb5229137424f88C70fdA1539F1F9,17,44
